+--------+--------------+
| number | RFID_tag     |
+--------+--------------+
|      1 | 670072B9CC60 |
|      2 | 67007277A6C4 |
|      3 | 67007286A231 |
|      4 | 6700725D91D9 |
|      5 | 670072AF3F85 |
|      6 | 44007557BED8 |
|      7 | 440079871FA5 |
|      8 | 440075571F79 |
|      9 | 4400758543F7 |
|     10 | 04002B14417A |
|     11 | 04002B09B690 |
|     12 | 04002F74623D |
|     13 | 040028B2F668 |
|     14 | 04002B00B996 |
|     15 | 44007984FC45 |
|     16 | 03002E1C7445 |
|     17 | 03002ED0B845 |
|     18 | 03002EDC9766 |
|     19 | 03002DCDE407 |
|     20 | 03002F401579 |
|     21 | 03002F705C00 |
|     22 | 03002E10D3EE |
|     23 | 03002F71D984 |
|     24 | 03002D8D4EED |
|     25 | 03002E3F1200 |
